0.00,1000.00,882.96,932.30	529.53,97.00,475.77,427.61	1158.02,205.00,614.39,364.09	771.75,139.00,481.81,288.73	482.60,86.00,452.02,163.99	332.42,60.00,146.04,277.30	1217.42,220.00,365.26,249.64	364.01,65.00,307.00,152.90	616.12,111.00,434.97,376.44	629.36,115.00,301.81,505.94	1249.08,227.00,916.40,528.98	540.37,95.00,141.99,484.45	456.95,82.00,401.22,155.97	1238.22,225.00,430.38,418.10	948.47,168.00,772.85,793.68	574.89,103.00,531.19,286.49	1488.39,266.00,896.26,389.97	1134.06,205.00,1007.37,893.79	817.44,149.00,647.06,641.68	671.19,120.00,574.01,279.90	320.16,58.00,306.87,115.09	1422.39,25.00,468.73,638.55	864.00,152.00,815.39,413.51	282.31,52.00,53.85,143.48	978.67,180.00,736.39,383.29	756.64,136.00,241.68,473.24	460.11,82.00,444.29,122.91	186.01,34.00,130.47,144.65	820.06,145.00,429.07,358.92
529.53,97.00,506.99,352.46	0.00,1000.00,981.66,297.52	730.07,129.00,568.46,547.88	572.71,103.00,440.37,412.75	388.97,71.00,147.75,337.67	572.80,105.00,268.75,139.72	1435.44,258.00,929.96,382.65	860.52,154.00,168.93,437.56	620.97,112.00,573.89,352.52	359.03,65.00,323.31,112.81	1129.69,204.00,654.53,705.91	837.38,150.00,341.80,386.33	466.90,87.00,148.64,398.14	967.47,176.00,271.21,509.11	769.42,137.00,169.25,356.07	796.30,142.00,744.71,707.14	1142.32,204.00,531.15,656.84	817.86,148.00,653.59,507.20	819.88,148.00,510.26,698.34	272.95,49.00,57.12,200.68	228.25,41.00,165.47,188.56	1168.42,211.00,767.16,347.54	1280.82,226.00,337.41,918.74	650.00,116.00,348.52,284.88	1086.00,197.00,364.19,287.13	490.41,89.00,139.45,158.97	864.00,153.00,833.68,498.61	677.79,124.00,194.95,370.93	418.69,74.00,322.93,161.58
1158.02,205.00,653.34,830.85	730.07,129.00,396.82,502.40	0.00,1000.00,115.29,765.04	1218.28,219.00,834.83,828.22	712.53,125.00,666.48,689.35	990.20,175.00,536.91,861.82	2160.02,386.00,1690.65,2109.12	1521.22,269.00,536.27,558.69	769.03,134.00,603.79,255.69	1028.25,184.00,710.73,241.86	1735.40,313.00,1391.79,590.43	1149.35,201.00,1061.65,212.58	1194.74,215.00,392.86,1082.69	1467.31,267.00,351.85,1283.62	1385.71,248.00,664.64,1342.44	1526.34,271.00,726.95,583.07	1511.99,274.00,1464.16,1063.65	1299.73,236.00,522.09,745.57	1516.44,272.00,702.74,1143.80	890.22,160.00,379.48,638.17	852.35,151.00,690.00,426.13	1652.45,300.00,880.10,1293.65	1990.60,350.00,736.02,981.50	1355.18,239.00,887.75,396.76	1796.55,322.00,1063.89,1538.42	451.77,78.00,154.04,296.16	1570.13,276.00,804.90,1409.74	1233.21,220.00,1192.42,327.94	338.38,60.00,118.02,154.36
771.75,139.00,681.67,747.92	572.71,103.00,527.58,302.62	1218.28,219.00,435.55,383.89	0.00,1000.00,754.42,441.45	930.00,167.00,875.67,741.08	1009.60,182.00,333.15,903.10	1006.23,180.00,361.09,943.63	910.22,162.00,170.37,428.35	1160.69,208.00,859.01,1025.24	213.78,39.00,181.83,46.44	557.31,102.00,245.11,478.62	1271.38,227.00,323.64,550.58	325.58,60.00,299.97,184.49	466.48,86.00,278.67,367.79	200.00,34.00,129.43,123.70	539.35,96.00,482.08,349.62	728.35,129.00,617.37,165.44	376.43,69.00,286.95,159.67	326.50,58.00,87.53,135.29	331.21,60.00,128.14,99.95	674.76,120.00,121.35,255.97	653.91,119.00,225.39,398.74	1098.95,192.00,1094.83,952.09	648.15,114.00,165.88,362.11	614.00,110.00,182.16,238.17	1062.31,192.00,648.85,988.75	778.78,136.00,338.58,471.13	957.18,176.00,302.08,705.90	962.55,173.00,883.00,777.08
482.60,86.00,414.97,145.24	388.97,71.00,370.37,356.23	712.53,125.00,556.48,151.25	930.00,167.00,881.91,503.46	0.00,1000.00,104.94,4.86	282.84,51.00,275.39,131.06	1647.54,296.00,1099.03,612.83	841.19,150.00,159.21,503.65	233.45,42.00,198.91,88.69	721.11,131.00,692.04,316.33	1482.73,268.00,458.38,370.15	499.30,88.00,167.94,377.80	724.22,131.00,490.10,674.83	1351.48,245.00,1323.79,1138.50	1130.00,201.00,559.82,375.27	984.78,175.00,303.68,981.65	1531.01,275.00,736.88,977.30	1205.40,218.00,1156.88,809.61	1118.26,202.00,874.33,791.36	659.70,119.00,423.97,463.57	272.03,50.00,103.12,173.60	1551.93,281.00,625.31,1459.85	1346.18,238.00,1164.50,624.42	735.53,131.00,444.08,264.98	1348.52,244.00,1153.47,1293.60	278.57,51.00,149.63,246.07	936.06,166.00,567.56,212.92	523.93,95.00,158.83,140.15	393.19,69.00,286.30,233.33
332.42,60.00,109.75,71.56	572.80,105.00,537.64,190.44	990.20,175.00,223.50,933.88	1009.60,182.00,318.75,258.49	282.84,51.00,143.23,258.92	0.00,1000.00,872.93,425.27	1549.45,279.00,831.24,658.44	636.55,114.00,443.04,138.38	306.10,56.00,221.08,95.74	824.62,150.00,628.48,343.31	1531.83,278.00,703.72,335.22	269.26,46.00,153.32,135.54	732.46,133.00,385.19,702.93	1465.37,266.00,1244.70,871.99	1203.04,214.00,867.46,953.40	905.21,162.00,212.47,343.66	1682.38,302.00,989.79,534.29	1337.54,242.00,808.61,405.10	1120.04,203.00,614.66,843.90	809.94,146.00,176.27,187.62	360.56,67.00,196.68,251.80	1660.27,300.00,408.45,459.81	1159.74,205.00,903.66,228.30	614.65,111.00,229.64,278.48	1304.19,238.00,1040.74,1192.69	543.32,98.00,139.91,465.75	779.36,139.00,381.05,277.42	280.18,52.00,211.87,248.33	676.02,120.00,458.25,333.07
1217.42,220.00,652.14,458.17	1435.44,258.00,616.61,693.75	2160.02,386.00,1738.67,1950.75	1006.23,180.00,705.24,422.18	1647.54,296.00,1213.19,894.69	1549.45,279.00,1326.97,1236.91	0.00,1000.00,537.43,266.92	992.98,178.00,720.63,294.91	1825.29,328.00,1558.24,671.84	1148.56,206.00,815.73,886.77	816.15,147.00,163.25,810.42	1718.40,308.00,352.60,1373.59	968.76,172.00,720.75,702.99	1141.10,203.00,673.96,1099.82	934.08,165.00,861.72,468.94	662.87,121.00,247.90,489.55	1421.27,251.00,845.28,1122.81	1208.39,216.00,693.80,357.38	679.78,122.00,467.00,434.08	1292.75,231.00,1169.35,579.73	1388.09,249.00,1241.00,1050.62	1169.66,209.00,897.95,1142.89	619.84,111.00,362.81,426.75	935.20,169.00,781.36,782.78	395.60,72.00,187.79,127.36	1880.43,328.00,573.30,1321.26	793.10,144.00,757.27,265.64	1318.98,237.00,652.67,578.22	1852.84,331.00,1422.31,1283.28
364.01,65.00,72.46,125.42	860.52,154.00,724.84,712.77	1521.22,269.00,1126.70,451.67	910.22,162.00,401.69,630.14	841.19,150.00,517.33,264.50	636.55,114.00,428.45,591.45	992.98,178.00,775.64,788.86	0.00,1000.00,480.37,786.17	941.75,169.00,598.42,892.89	843.09,151.00,489.62,297.06	1260.52,227.00,309.09,415.64	742.50,133.00,341.26,432.71	595.40,104.00,307.82,117.55	1351.04,242.00,1038.56,758.53	1039.47,182.00,347.16,967.05	478.54,84.00,437.33,388.78	1633.77,290.00,1563.10,1378.94	1286.00,230.00,476.63,654.57	815.41,146.00,226.84,485.04	931.45,165.00,701.31,460.69	674.69,121.00,245.42,346.65	1508.94,270.00,1478.00,647.02	524.02,91.00,343.50,517.33	264.20,48.00,72.42,132.86	865.85,158.00,606.75,182.25	1118.03,200.00,459.80,717.47	212.13,39.00,176.78,193.95	362.35,64.00,270.91,128.42	1182.96,210.00,332.58,459.74
616.12,111.00,568.94,465.71	620.97,112.00,544.01,439.03	769.03,134.00,583.63,188.53	1160.69,208.00,856.64,934.46	233.45,42.00,73.00,175.81	306.10,56.00,174.66,225.45	1825.29,328.00,729.91,1464.10	941.75,169.00,633.43,847.56	0.00,1000.00,172.70,692.32	953.36,172.00,791.87,675.22	1710.73,309.00,515.37,702.98	382.10,68.00,325.34,257.25	937.44,169.00,857.96,688.38	1584.93,286.00,1137.19,323.14	1360.59,242.00,610.35,456.03	1167.78,208.00,1087.25,988.23	1761.39,315.00,951.66,996.56	1438.37,259.00,1140.19,1060.96	1333.64,240.00,1093.18,1312.42	892.69,160.00,877.45,480.86	491.63,90.00,442.89,316.46	1785.39,322.00,1429.02,651.87	1463.86,260.00,613.71,511.48	893.59,160.00,487.92,319.01	1549.52,281.00,289.18,309.50	326.96,57.00,231.88,118.13	1074.48,192.00,813.29,503.96	586.00,107.00,426.93,180.79	513.13,90.00,187.86,320.19
629.36,115.00,206.80,149.80	359.03,65.00,280.27,118.34	1028.25,184.00,711.21,364.50	213.78,39.00,45.16,149.97	721.11,131.00,529.98,372.10	824.62,150.00,191.25,512.43	1148.56,206.00,294.04,784.78	843.09,151.00,411.00,254.35	953.36,172.00,222.10,682.19	0.00,1000.00,502.90,193.90	771.04,140.00,623.29,286.17	1091.65,195.00,1067.51,1070.70	261.73,51.00,101.43,202.02	641.95,112.00,215.09,623.94	411.95,72.00,227.59,96.93	580.52,104.00,225.40,356.72	865.33,153.00,715.83,693.87	514.78,93.00,110.12,307.76	488.36,88.00,349.08,469.43	144.22,25.00,93.51,75.63	475.39,85.00,271.57,117.13	839.34,152.00,777.69,481.34	1132.17,200.00,969.64,1089.49	581.89,104.00,508.47,278.78	771.56,139.00,407.74,185.35	849.00,154.00,565.24,520.55	758.02,134.00,399.68,160.03	813.94,149.00,164.60,313.78	755.91,135.00,354.19,497.87
