0.00,1000.00	529.53,97.00	1158.02,205.00	771.75,139.00	482.60,86.00	332.42,60.00	1217.42,220.00	364.01,65.00	616.12,111.00	629.36,115.00	1249.08,227.00	540.37,95.00	456.95,82.00	1238.22,225.00	948.47,168.00	574.89,103.00	1488.39,266.00	1134.06,205.00	817.44,149.00	671.19,120.00	320.16,58.00	1422.39,25.00	864.00,152.00	282.31,52.00	978.67,180.00	756.64,136.00	460.11,82.00	186.01,34.00	820.06,145.00
529.53,97.00	0.00,1000.00	730.07,129.00	572.71,103.00	388.97,71.00	572.80,105.00	1435.44,258.00	860.52,154.00	620.97,112.00	359.03,65.00	1129.69,204.00	837.38,150.00	466.90,87.00	967.47,176.00	769.42,137.00	796.30,142.00	1142.32,204.00	817.86,148.00	819.88,148.00	272.95,49.00	228.25,41.00	1168.42,211.00	1280.82,226.00	650.00,116.00	1086.00,197.00	490.41,89.00	864.00,153.00	677.79,124.00	418.69,74.00
1158.02,205.00	730.07,129.00	0.00,1000.00	1218.28,219.00	712.53,125.00	990.20,175.00	2160.02,386.00	1521.22,269.00	769.03,134.00	1028.25,184.00	1735.40,313.00	1149.35,201.00	1194.74,215.00	1467.31,267.00	1385.71,248.00	1526.34,271.00	1511.99,274.00	1299.73,236.00	1516.44,272.00	890.22,160.00	852.35,151.00	1652.45,300.00	1990.60,350.00	1355.18,239.00	1796.55,322.00	451.77,78.00	1570.13,276.00	1233.21,220.00	338.38,60.00
771.75,139.00	572.71,103.00	1218.28,219.00	0.00,1000.00	930.00,167.00	1009.60,182.00	1006.23,180.00	910.22,162.00	1160.69,208.00	213.78,39.00	557.31,102.00	1271.38,227.00	325.58,60.00	466.48,86.00	200.00,34.00	539.35,96.00	728.35,129.00	376.43,69.00	326.50,58.00	331.21,60.00	674.76,120.00	653.91,119.00	1098.95,192.00	648.15,114.00	614.00,110.00	1062.31,192.00	778.78,136.00	957.18,176.00	962.55,173.00
482.60,86.00	388.97,71.00	712.53,125.00	930.00,167.00	0.00,1000.00	282.84,51.00	1647.54,296.00	841.19,150.00	233.45,42.00	721.11,131.00	1482.73,268.00	499.30,88.00	724.22,131.00	1351.48,245.00	1130.00,201.00	984.78,175.00	1531.01,275.00	1205.40,218.00	1118.26,202.00	659.70,119.00	272.03,50.00	1551.93,281.00	1346.18,238.00	735.53,131.00	1348.52,244.00	278.57,51.00	936.06,166.00	523.93,95.00	393.19,69.00
332.42,60.00	572.80,105.00	990.20,175.00	1009.60,182.00	282.84,51.00	0.00,1000.00	1549.45,279.00	636.55,114.00	306.10,56.00	824.62,150.00	1531.83,278.00	269.26,46.00	732.46,133.00	1465.37,266.00	1203.04,214.00	905.21,162.00	1682.38,302.00	1337.54,242.00	1120.04,203.00	809.94,146.00	360.56,67.00	1660.27,300.00	1159.74,205.00	614.65,111.00	1304.19,238.00	543.32,98.00	779.36,139.00	280.18,52.00	676.02,120.00
1217.42,220.00	1435.44,258.00	2160.02,386.00	1006.23,180.00	1647.54,296.00	1549.45,279.00	0.00,1000.00	992.98,178.00	1825.29,328.00	1148.56,206.00	816.15,147.00	1718.40,308.00	968.76,172.00	1141.10,203.00	934.08,165.00	662.87,121.00	1421.27,251.00	1208.39,216.00	679.78,122.00	1292.75,231.00	1388.09,249.00	1169.66,209.00	619.84,111.00	935.20,169.00	395.60,72.00	1880.43,328.00	793.10,144.00	1318.98,237.00	1852.84,331.00
364.01,65.00	860.52,154.00	1521.22,269.00	910.22,162.00	841.19,150.00	636.55,114.00	992.98,178.00	0.00,1000.00	941.75,169.00	843.09,151.00	1260.52,227.00	742.50,133.00	595.40,104.00	1351.04,242.00	1039.47,182.00	478.54,84.00	1633.77,290.00	1286.00,230.00	815.41,146.00	931.45,165.00	674.69,121.00	1508.94,270.00	524.02,91.00	264.20,48.00	865.85,158.00	1118.03,200.00	212.13,39.00	362.35,64.00	1182.96,210.00
616.12,111.00	620.97,112.00	769.03,134.00	1160.69,208.00	233.45,42.00	306.10,56.00	1825.29,328.00	941.75,169.00	0.00,1000.00	953.36,172.00	1710.73,309.00	382.10,68.00	937.44,169.00	1584.93,286.00	1360.59,242.00	1167.78,208.00	1761.39,315.00	1438.37,259.00	1333.64,240.00	892.69,160.00	491.63,90.00	1785.39,322.00	1463.86,260.00	893.59,160.00	1549.52,281.00	326.96,57.00	1074.48,192.00	586.00,107.00	513.13,90.00
629.36,115.00	359.03,65.00	1028.25,184.00	213.78,39.00	721.11,131.00	824.62,150.00	1148.56,206.00	843.09,151.00	953.36,172.00	0.00,1000.00	771.04,140.00	1091.65,195.00	261.73,51.00	641.95,112.00	411.95,72.00	580.52,104.00	865.33,153.00	514.78,93.00	488.36,88.00	144.22,25.00	475.39,85.00	839.34,152.00	1132.17,200.00	581.89,104.00	771.56,139.00	849.00,154.00	758.02,134.00	813.94,149.00	755.91,135.00
1249.08,227.00	1129.69,204.00	1735.40,313.00	557.31,102.00	1482.73,268.00	1531.83,278.00	816.15,147.00	1260.52,227.00	1710.73,309.00	771.04,140.00	0.00,1000.00	1780.84,320.00	800.62,146.00	362.49,64.00	361.39,68.00	784.92,143.00	611.31,106.00	490.41,88.00	447.21,81.00	876.41,159.00	1220.04,219.00	353.55,63.00	1214.95,216.00	1038.70,187.00	501.20,88.00	1618.30,293.00	1068.32,191.00	1423.38,258.00	1508.41,272.00
